,source,target,weight
0,495,701,0.2
1,470,469,0.1
2,2669,3081,0.1
3,1971,2325,0.1
4,1306,1311,0.1
5,4,6,0.1
6,120,233,0.1
7,1276,428,0.2
8,5622,3646,0.1
9,2077,2943,0.2
10,405,141,0.3
11,1981,3367,0.1
12,1011,5319,0.1
13,4092,2020,0.4
14,4039,4328,0.1
15,1850,1500,0.2
16,3573,4403,0.2
17,3496,2279,0.1
18,0,85,0.2
19,3378,584,0.1
20,2472,2150,0.1
21,1798,1830,0.5
22,3951,3802,0.1
23,26,2559,0.1
24,2587,2354,0.1
25,977,4868,0.7
26,2423,2020,0.1
27,1291,428,0.1
28,233,970,0.2
29,3646,18,0.1
30,4405,3759,0.1
31,4481,4004,0.3
32,500,435,1.0
33,1902,1541,0.1
34,26,1603,0.1
35,4542,2545,0.2
36,372,258,0.3
37,2062,2886,0.2
38,2801,264,0.1
39,2762,26,0.1
40,2138,1998,0.1
41,3638,3819,0.1
42,64,1458,1.0
43,5502,5687,0.5
44,4217,2140,0.1
45,4954,4545,0.2
46,176,4373,0.5
47,3487,3477,0.8
48,2388,2279,0.1
49,2218,3482,-1.0
50,1293,1685,0.4
51,3743,4256,0.1
52,2472,2657,0.1
53,132,2020,0.1
54,2146,1459,0.1
55,26,3541,0.1
56,1236,864,0.2
57,377,1379,0.2
58,3910,2338,0.1
59,523,3547,0.2
60,3705,1965,0.1
61,26,3057,0.1
62,474,180,0.1
63,885,436,0.3
64,506,2637,0.1
65,3294,3450,0.1
66,688,1240,0.1
67,3720,3577,0.1
68,284,163,0.1
69,4312,4182,0.1
70,1505,26,0.1
71,2472,98,0.1
72,4604,2778,0.1
73,2839,2962,-1.0
74,494,673,0.1
75,1925,1725,0.1
76,4338,3554,0.1
77,791,1,0.3
78,4316,4150,0.1
79,1568,2686,0.1
80,2635,2568,-1.0
81,4121,4555,-1.0
82,212,42,0.1
83,4299,1689,0.2
84,3646,947,0.1
85,1902,1571,1.0
86,4418,3670,0.2
87,1544,1522,0.1
88,5356,4829,0.2
89,3832,5378,0.1
90,3048,2953,0.5
91,0,176,0.1
92,313,1519,0.1
93,4559,5532,-1.0
94,1293,3204,0.1
95,60,49,0.2
96,1249,452,0.1
97,4316,4338,0.1
98,2077,5311,-0.2
99,4116,4115,0.1
100,2587,2020,0.5
101,2974,10,0.1
102,482,1354,0.2
103,1794,3404,0.1
104,2077,4822,-0.1
105,2284,2279,0.3
106,1594,3643,0.2
107,1938,0,1.0
108,196,362,0.1
109,378,13,0.6
110,603,651,0.1
111,26,5500,0.2
112,2077,302,0.1
113,26,3227,0.1
114,1163,1276,0.1
115,4697,4750,0.1
116,1698,1240,0.1
117,1204,1948,0.1
118,338,6,0.1
119,3716,4579,-1.0
120,165,284,0.1
121,510,2150,0.1
122,506,2572,0.1
123,5411,5346,0.1
124,0,2077,0.5
125,1476,83,0.1
126,3631,3646,0.3
127,2269,1786,0.1
128,2338,3487,-1.0
129,2110,18,-0.1
130,3396,3062,0.1
131,5134,4962,0.2
132,3751,5793,0.2
133,1503,1344,0.1
134,376,646,0.1
135,1447,1519,0.1
136,217,288,0.4
137,2563,20,0.2
138,2266,2790,0.1
139,3593,3662,0.1
140,425,2036,0.1
141,1344,1475,0.1
142,3847,3372,0.4
143,5512,4775,0.2
144,4558,4092,0.5
145,2338,1786,0.2
146,918,159,1.0
147,264,1705,0.3
148,2094,2098,0.1
149,3932,3536,0.2
150,1718,1321,0.3
151,3589,2077,0.1
152,5812,35,0.6
153,2669,3168,0.1
154,2020,3681,-1.0
155,5776,5364,0.1
156,2247,4277,0.1
157,3632,1144,0.4
158,26,3938,0.3
159,2834,4833,0.1
160,3749,3750,0.1
161,2601,2614,0.8
162,5378,5439,0.1
163,1283,5158,0.1
164,4471,2432,-0.1
165,4564,4566,-1.0
166,170,173,0.1
167,5742,35,0.1
168,2953,3048,0.1
169,3062,3869,0.1
170,217,319,0.5
171,359,139,0.2
172,3674,5025,-0.2
173,864,2646,-1.0
174,1610,1831,0.1
175,1764,5056,-0.9
176,26,795,0.1
177,3463,1764,0.1
178,1541,551,0.1
179,1354,1628,0.2
180,1786,2839,0.1
181,1521,5269,0.1
182,4083,2020,1.0
183,884,1211,0.1
184,5536,5543,0.2
185,1687,2570,0.5
186,4206,3621,0.1
187,3573,1685,0.2
188,3124,3245,0.3
189,3814,3659,0.1
190,10,4427,0.2
191,3319,163,0.1
192,1764,2886,0.2
193,2580,2981,0.3
194,4765,3062,0.5
195,551,428,0.2
196,3128,3163,-0.1
197,412,510,0.1
198,98,2510,0.1
199,26,5879,0.1
200,4977,4976,0.1
201,806,728,0.9
202,2592,1970,-1.0
203,428,1166,0.2
204,422,536,0.1
205,2831,2587,0.1
206,1521,2166,0.2
207,5429,5701,-0.1
208,4152,977,0.2
209,1354,269,0.4
210,1764,1918,-1.0
211,3800,5516,0.1
212,1764,2983,0.3
213,3759,4191,0.1
214,3903,2884,0.1
215,4316,4348,0.1
216,2804,2580,0.1
217,305,401,0.2
218,2587,3079,0.2
219,1321,139,0.1
220,1667,1814,0.1
221,4741,5135,0.1
222,498,45,0.1
223,2580,3192,0.1
224,3379,4782,0.2
225,4471,1870,0.1
226,864,1756,0.1
227,2257,1995,0.1
228,841,1290,0.2
229,368,106,0.2
230,83,184,0.1
231,1121,1284,0.1
232,1870,4746,0.3
233,1769,2677,0.1
234,1679,145,0.5
235,2247,2509,0.1
236,2338,18,0.9
237,10,1276,0.3
238,3377,3658,0.1
239,323,1324,1.0
240,3646,3396,0.1
241,4306,3736,0.2
242,1011,176,0.1
243,217,238,0.5
244,992,791,0.1
245,2720,1568,0.1
246,68,375,0.1
247,217,75,0.5
248,4115,3674,0.1
249,4277,4488,0.1
250,2338,2885,0.1
251,5841,5134,0.1
252,2458,1522,0.1
253,45,72,0.1
254,4246,4641,0.1
255,3674,506,0.1
256,45,104,0.1
257,3040,3951,0.2
258,506,1827,0.1
259,313,689,0.5
260,2486,2484,0.2
261,3524,2718,0.1
262,3841,4206,0.1
263,4642,2545,0.2
264,606,1249,0.1
265,1814,1917,0.1
266,4439,4277,0.1
267,497,482,0.2
268,4746,5192,0.1
269,132,2077,0.1
270,1764,4743,-0.8
271,752,646,0.1
272,1865,1814,0.3
273,1344,500,0.2
274,1521,2669,0.5
275,2953,5296,0.1
276,3503,4199,0.1
277,455,175,0.2
278,26,2987,0.2
279,56,94,0.1
280,1873,2520,-0.2
281,5259,851,0.1
282,2020,1719,-0.3
283,26,1870,0.1
284,1498,1344,0.1
285,396,226,0.1
286,2204,2738,0.1
287,1456,1689,0.1
288,4274,864,0.1
289,960,3522,0.2
290,907,1332,0.2
291,3523,5433,0.2
292,1764,2567,-1.0
293,551,977,0.4
294,4246,864,0.1
295,1574,18,0.1
296,3646,5064,0.2
297,2007,1921,0.2
298,2778,3668,-1.0
299,41,4741,0.5
300,1706,1787,0.1
301,1296,26,0.1
302,3387,2580,0.1
303,4450,1998,0.5
304,1584,1519,0.1
305,5532,2974,0.2
306,42,0,0.7
307,1249,428,0.1
308,1457,30,0.1
309,4689,3097,0.1
310,3149,2953,1.0
311,3356,4280,0.1
312,3379,2744,-1.0
313,3052,3181,0.1
314,139,1141,0.1
315,5378,4807,1.0
316,4792,4938,0.1
317,9,1,0.7
318,2247,2299,0.1
319,791,831,0.3
320,1358,428,0.1
321,1685,688,0.4
322,3643,4468,-0.5
323,2017,1644,0.5
324,4219,2196,0.1
325,612,226,0.1
