,source,target,weight
0,3496,3672,0.9
1,26,3341,0.1
2,4042,3908,0.2
3,1505,1718,0.3
4,1310,1689,0.5
5,4206,4277,0.2
6,3335,2637,0.1
7,610,310,0.2
8,1521,3643,0.5
9,2354,4284,0.2
10,1053,1132,0.1
11,1160,45,0.2
12,2424,947,0.1
13,3474,2247,0.1
14,4092,4468,-1.0
15,1981,1485,0.1
16,4092,4195,0.2
17,2571,3898,0.2
18,2338,3250,0.2
19,5823,1998,0.2
20,26,2539,0.1
21,5411,5513,0.1
22,1160,1756,0.2
23,1444,1276,0.1
24,95,104,0.1
25,4577,864,-1.0
26,2349,2150,0.2
27,1969,1631,0.1
28,1647,1876,0.1
29,3632,1144,0.4
30,1310,2295,-1.0
31,4216,4844,0.1
32,864,2247,0.1
33,111,551,0.2
34,3,415,0.2
35,4864,4866,0.1
36,910,221,0.1
37,1764,1904,0.1
38,500,585,1.0
39,1685,2565,0.1
40,24,2884,0.1
41,3309,977,0.2
42,1561,313,0.1
43,2903,1907,0.1
44,4027,3794,0.1
45,4471,4792,0.3
46,2592,3098,0.1
47,2338,3306,-1.0
48,26,1751,0.1
49,4299,5502,0.1
50,310,880,0.1
51,2587,3013,0.1
52,2348,688,0.2
53,110,30,0.1
54,2203,551,0.1
55,5429,4431,-0.1
56,4982,4230,0.2
57,26,3104,0.2
58,4749,4783,0.1
59,365,393,0.1
60,575,359,0.1
61,444,106,0.1
62,5467,5725,0.1
63,26,5381,0.1
64,3261,4578,-1.0
65,812,844,0.2
66,4373,4135,0.2
67,4039,2354,0.1
68,1981,2297,0.1
69,99,6,0.1
70,217,303,0.4
71,4765,0,0.3
72,4114,4021,0.2
73,378,593,0.1
74,1907,1853,0.1
75,1344,2648,-1.0
76,3910,5138,0.1
77,3378,4427,0.1
78,3156,2587,0.4
79,1002,159,0.2
80,4303,4921,0.1
81,2247,2744,-1.0
82,346,337,0.1
83,3751,2974,0.3
84,2884,4552,0.1
85,42,166,0.1
86,2981,2592,0.3
87,2788,1981,0.3
88,5664,5793,0.1
89,1354,1357,0.1
90,1629,896,0.3
91,428,1387,0.2
92,4758,977,0.2
93,531,375,0.1
94,2218,2077,0.4
95,2953,2981,0.3
96,2156,1804,0.2
97,415,11,0.2
98,1647,1341,-0.1
99,2938,240,0.1
100,1853,2699,0.1
101,1964,1607,0.2
102,5413,1310,0.2
103,26,3590,0.1
104,5317,5787,0.1
105,24,3728,0.2
106,446,2247,0.1
107,1764,2374,0.1
108,1702,27,0.1
109,2629,2627,1.0
110,688,2094,0.1
111,5259,5433,0.3
112,2587,3308,0.1
113,468,448,0.1
114,1498,864,0.2
115,5354,5251,0.1
116,2546,2548,0.5
117,4498,4206,0.1
118,95,130,0.2
119,406,1764,0.2
120,3809,3372,0.1
121,5386,4559,0.1
122,2119,4174,1.0
123,2047,1981,0.1
124,1764,3009,0.1
125,209,733,0.1
126,5429,1057,-0.1
127,1430,1981,0.1
128,4396,4433,0.7
129,2587,1925,0.1
130,1521,1360,0.1
131,1439,1629,0.1
132,862,1658,0.1
133,4845,4471,0.2
134,3506,5433,0.3
135,91,84,0.2
136,1230,2587,0.1
137,4973,1310,0.4
138,1571,1722,0.1
139,4585,3819,-1.0
140,1668,977,0.1
141,3319,3277,0.1
142,999,139,0.1
143,1512,2171,0.1
144,319,464,0.1
145,3294,2839,0.2
146,2622,2618,0.3
147,415,2699,0.2
148,806,926,0.1
149,269,132,0.1
150,4413,4115,0.3
151,1176,1506,0.1
152,453,3591,0.2
153,1521,3819,0.5
154,3910,5134,0.2
155,1814,1853,0.5
156,1786,4871,0.1
157,370,162,1.0
158,884,190,0.2
159,1575,1522,0.1
160,2632,2247,0.1
161,2020,3711,-1.0
162,4034,4559,0.1
163,359,233,0.1
164,127,167,0.1
165,4558,4983,0.1
166,2433,2602,0.1
167,1354,21,0.6
168,5290,3910,-1.0
169,3452,3898,0.2
170,970,6,0.3
171,1344,1054,0.1
172,2628,385,-1.0
173,4299,505,0.1
174,746,29,0.1
175,26,2928,0.1
176,4768,5531,0.1
177,3528,3499,0.2
178,611,535,0.5
179,4230,4185,-0.1
180,4521,5309,0.4
181,453,2803,0.2
182,3743,3819,0.1
183,3646,3497,0.1
184,2587,3250,0.1
185,3763,506,0.2
186,269,1668,0.1
187,1003,2020,0.1
188,216,589,0.1
189,176,1800,0.5
190,4576,4639,-1.0
191,452,1261,0.1
192,1293,4314,0.1
193,2077,5080,-1.0
194,3702,2587,0.3
195,428,691,0.2
196,1053,1260,0.1
197,565,624,0.1
198,4650,4656,0.2
199,6,1277,0.2
200,1012,1276,0.1
201,4092,5210,-1.0
202,4115,3499,0.1
203,3621,1521,0.1
204,45,3275,0.1
205,2601,2614,0.8
206,282,289,0.1
207,2343,26,0.1
208,2550,2065,0.1
209,2884,4056,0.1
210,5429,2472,-0.1
211,10,1276,0.3
212,834,823,0.2
213,1921,1435,0.1
214,1160,2520,-1.0
215,2831,2580,0.1
216,2279,2042,-1.0
217,2094,2098,0.1
218,4303,4206,0.1
219,3278,1981,0.1
220,5848,10,0.1
221,1627,1797,0.1
222,3643,1293,0.6
223,623,606,0.1
224,1176,1449,0.2
225,132,182,0.1
226,1685,1786,0.3
227,2158,2126,0.1
228,2433,2591,0.1
229,5046,4741,0.2
230,4206,3795,0.1
231,1723,1718,0.5
232,2347,1876,0.3
233,5815,26,0.1
234,3294,3093,0.2
235,217,333,0.4
236,4182,2580,1.0
237,506,1413,0.1
238,1764,5532,-0.3
239,2949,4171,0.1
240,4582,1764,-1.0
241,95,117,0.4
242,1287,1176,0.2
243,1853,2077,0.4
244,841,1306,0.1
245,1011,139,0.1
246,656,41,0.1
247,27,1775,0.1
248,2077,5273,-0.2
249,1998,5309,0.1
250,3712,4593,-1.0
251,0,500,0.1
252,2136,163,0.1
253,2065,1944,0.1
254,1276,1306,0.1
255,86,5064,0.1
256,1522,1554,0.1
257,3356,5512,0.2
258,1522,1551,0.2
259,4092,4824,0.1
260,2981,3098,0.1
261,3503,4490,0.1
262,1521,1718,0.1
263,833,537,0.1
264,3646,5411,0.1
265,4592,1764,-1.0
266,4697,4279,0.1
267,2677,506,0.1
268,1568,3910,0.2
269,142,95,0.1
270,1907,2951,0.5
271,3564,1804,0.1
272,993,1291,0.2
273,26,2927,0.1
274,5382,2938,0.1
275,2146,1981,-0.5
276,6,511,0.2
277,5558,5528,0.1
278,2520,2020,-0.7
279,669,1764,0.1
280,153,855,0.5
281,1870,26,0.2
282,4123,0,0.1
283,3354,649,0.1
284,591,132,0.1
285,2016,5309,0.2
286,1498,18,1.0
287,3674,506,0.1
288,255,625,0.3
289,4489,977,0.2
290,1357,1500,0.2
291,5692,5429,0.1
292,1981,10,0.7
293,1521,506,0.3
294,3311,3150,0.4
295,264,782,0.1
296,2720,3593,0.1
297,2236,2211,0.1
298,2587,3339,0.1
299,3593,2744,0.1
300,1447,1344,0.1
301,2338,4078,0.1
302,4471,5105,-1.0
303,4235,2545,0.1
304,3523,3751,0.5
305,10,2024,0.1
306,1254,1269,0.1
307,1465,510,0.1
308,1666,1585,0.1
309,5093,5102,0.1
310,4413,4933,0.2
311,2102,1144,0.1
312,1765,1444,0.1
313,2254,18,1.0
314,3062,2198,0.1
315,499,401,0.1
316,1725,375,-0.1
317,4871,1786,0.1
318,1921,1310,0.3
319,216,45,0.1
320,2037,2041,-0.1
321,4768,5420,0.1
322,4198,4196,0.3
323,594,2150,0.1
324,26,4735,0.1
325,1191,882,1.0
326,977,4115,0.1
327,4791,4792,0.1
328,84,510,0.2
329,1769,1764,0.2
330,1981,2048,-1.0
331,2020,2114,0.1
332,1998,3356,0.1
333,1176,2144,0.5
334,217,188,0.5
335,387,409,0.2
336,98,1799,0.1
337,2125,1521,0.1
338,1981,1003,0.2
339,3062,4695,0.1
340,2941,3391,0.1
341,4611,3819,-1.0
342,1729,1698,0.1
343,3573,1492,-1.0
344,2938,4115,0.3
345,1306,1629,0.1
346,1853,3248,0.1
347,1321,1410,0.3
348,2248,864,0.1
349,1011,5319,0.1
350,3062,3064,0.1
351,2570,3517,0.1
352,3474,1293,0.1
353,3564,505,0.3
354,4481,4004,0.3
355,2248,2032,0.3
356,4443,4576,1.0
357,42,79,0.1
358,26,3812,0.2
359,313,170,0.2
360,4689,2831,0.1
361,2503,2486,0.1
362,2501,2077,0.2
363,2010,1875,0.1
364,1685,1324,0.1
365,5479,5719,0.3
366,3648,3724,0.1
367,4216,4846,0.3
368,1764,2573,-1.0
369,3162,2587,0.1
